World Name: GOOFINDER
Size: 100x60
Tile Count: 6000
Version: 25
Flags: 64
Weather: Base=0, Current=8

--- TILE LIST ---
Index | X, Y | Fg | Bg | Flags | TileFlags | Type | Extra Data
   27 |  27,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   28 |  28,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   29 |  29,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   30 |  30,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   31 |  31,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   32 |  32,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   33 |  33,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   34 |  34,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   35 |  35,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   36 |  36,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   37 |  37,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   38 |  38,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   39 |  39,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   40 |  40,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   41 |  41,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   42 |  42,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   43 |  43,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   44 |  44,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   45 |  45,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   46 |  46,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   47 |  47,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   48 |  48,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   49 |  49,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   50 |  50,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   51 |  51,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   52 |  52,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   53 |  53,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   54 |  54,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   55 |  55,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   56 |  56,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   57 |  57,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   58 |  58,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   59 |  59,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   60 |  60,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   61 |  61,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   62 |  62,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   63 |  63,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   64 |  64,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   65 |  65,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   66 |  66,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   67 |  67,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   68 |  68,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   69 |  69,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   70 |  70,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   71 |  71,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   72 |  72,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   73 |  73,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   74 |  74,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   75 |  75,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   76 |  76,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   77 |  77,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   78 |  78,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   79 |  79,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   80 |  80,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   81 |  81,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   82 |  82,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   83 |  83,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   84 |  84,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   85 |  85,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   86 |  86,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   87 |  87,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   88 |  88,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   89 |  89,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   90 |  90,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   91 |  91,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   92 |  92,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   93 |  93,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   94 |  94,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   95 |  95,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   96 |  96,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   97 |  97,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   98 |  98,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   99 |  99,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  100 |   0,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  101 |   1,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  102 |   2,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  103 |   3,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  104 |   4,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  105 |   5,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  106 |   6,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  107 |   7,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  108 |   8,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  109 |   9,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  110 |  10,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  111 |  11,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  112 |  12,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  113 |  13,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  114 |  14,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  115 |  15,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  116 |  16,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  117 |  17,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  118 |  18,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  119 |  19,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  120 |  20,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  121 |  21,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  122 |  22,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  123 |  23,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  124 |  24,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  125 |  25,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  126 |  26,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  127 |  27,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  128 |  28,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  129 |  29,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  130 |  30,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  131 |  31,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  132 |  32,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  133 |  33,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  134 |  34,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  135 |  35,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  136 |  36,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  137 |  37,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  138 |  38,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  139 |  39,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  140 |  40,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  141 |  41,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  142 |  42,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  143 |  43,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  144 |  44,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  145 |  45,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  146 |  46,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  147 |  47,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  148 |  48,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  149 |  49,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  150 |  50,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  151 |  51,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  152 |  52,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  153 |  53,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  154 |  54,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  155 |  55,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  156 |  56,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  157 |  57,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  158 |  58,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  159 |  59,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  160 |  60,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  161 |  61,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  162 |  62,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  163 |  63,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  164 |  64,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  165 |  65,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  166 |  66,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  167 |  67,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  168 |  68,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  169 |  69,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  170 |  70,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  171 |  71,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  172 |  72,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  173 |  73,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  174 |  74,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  175 |  75,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  176 |  76,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  177 |  77,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  178 |  78,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  179 |  79,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  180 |  80,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  181 |  81,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  182 |  82,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  183 |  83,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  184 |  84,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  185 |  85,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  186 |  86,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  187 |  87,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  188 |  88,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  189 |  89,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  190 |  90,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  191 |  91,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  192 |  92,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  193 |  93,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  194 |  94,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  195 |  95,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  196 |  96,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  197 |  97,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  198 |  98,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  199 |  99,   1 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  200 |   0,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  201 |   1,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  202 |   2,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  203 |   3,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  204 |   4,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  205 |   5,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  206 |   6,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  207 |   7,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  208 |   8,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  209 |   9,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  210 |  10,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  211 |  11,   2 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  212 |  12,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  213 |  13,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  214 |  14,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  215 |  15,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  216 |  16,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  217 |  17,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  218 |  18,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  219 |  19,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  220 |  20,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  221 |  21,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  222 |  22,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  223 |  23,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  224 |  24,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  225 |  25,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  226 |  26,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  227 |  27,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  228 |  28,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  229 |  29,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  230 |  30,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  231 |  31,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  232 |  32,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  233 |  33,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  234 |  34,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  235 |  35,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  236 |  36,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  237 |  37,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  238 |  38,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  239 |  39,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  240 |  40,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  241 |  41,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  242 |  42,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  243 |  43,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  244 |  44,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  245 |  45,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  246 |  46,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  247 |  47,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  248 |  48,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  249 |  49,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  250 |  50,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  251 |  51,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  252 |  52,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  253 |  53,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  254 |  54,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  255 |  55,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  256 |  56,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  257 |  57,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  258 |  58,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  259 |  59,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  260 |  60,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  261 |  61,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  262 |  62,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  263 |  63,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  264 |  64,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  265 |  65,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  266 |  66,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  267 |  67,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  268 |  68,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  269 |  69,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  270 |  70,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  271 |  71,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  272 |  72,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  273 |  73,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  274 |  74,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  275 |  75,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  276 |  76,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  277 |  77,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  278 |  78,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  279 |  79,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  280 |  80,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  281 |  81,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  282 |  82,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  283 |  83,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  284 |  84,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  285 |  85,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  286 |  86,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  287 |  87,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  288 |  88,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  289 |  89,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  290 |  90,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  291 |  91,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  292 |  92,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  293 |  93,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  294 |  94,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  295 |  95,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  296 |  96,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  297 |  97,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  298 |  98,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  299 |  99,   2 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  300 |   0,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  301 |   1,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  302 |   2,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  303 |   3,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  304 |   4,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  305 |   5,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  306 |   6,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  307 |   7,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  308 |   8,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  309 |   9,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  310 |  10,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  311 |  11,   3 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
  312 |  12,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  313 |  13,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  314 |  14,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  315 |  15,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  316 |  16,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  317 |  17,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  318 |  18,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  319 |  19,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  320 |  20,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  321 |  21,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  322 |  22,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  323 |  23,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  324 |  24,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  325 |  25,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  326 |  26,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  327 |  27,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  328 |  28,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  329 |  29,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  330 |  30,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  331 |  31,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  332 |  32,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  333 |  33,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  334 |  34,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  335 |  35,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  336 |  36,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  337 |  37,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  338 |  38,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  339 |  39,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  340 |  40,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  341 |  41,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  342 |  42,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  343 |  43,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  344 |  44,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  345 |  45,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  346 |  46,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  347 |  47,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  348 |  48,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  349 |  49,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  350 |  50,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  351 |  51,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
  352 |  52,   3 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
